iter,train_loss,val_loss,lr,global_grad_norm,probe_intra_cos,probe_inter_cos,probe_gap,probe_knn_purity,umap_method
0,11.271368026733398,11.266533184051514,6e-07,1.013656735420227,0.010396712459623814,0.004118111450225115,0.006278601009398699,0.16666666666666666,raw2d_fallback
500,7.296815395355225,7.110342216491699,0.0003,0.7988661527633667,0.010420541279017925,0.004151105415076017,0.006269435863941908,0.16666666666666666,not_run
1000,6.806406497955322,6.70333161354065,0.0002997226280212954,0.7748334407806396,0.010430796071887016,0.004218903835862875,0.006211892236024141,0.16666666666666666,not_run
1500,6.526701927185059,6.527516269683838,0.0002988916518661382,0.8242002129554749,0.01043646689504385,0.004245199728757143,0.006191267166286707,0.16666666666666666,not_run
2000,6.523050785064697,6.476111173629761,0.0002975104861937938,0.9393859505653381,0.010510185733437538,0.0042245290242135525,0.006285656709223986,0.1111111111111111,raw2d_fallback
2500,6.3958659172058105,6.4075612783432,0.00029558480651026894,1.0063945055007935,0.010529575869441032,0.004261387046426535,0.006268188823014498,0.1111111111111111,not_run
3000,6.498715877532959,6.312187743186951,0.0002931225258464402,1.018754005432129,0.010505655780434608,0.004291222430765629,0.00621443334966898,0.1111111111111111,not_run
3500,6.214870929718018,6.193765926361084,0.0002901337622417129,1.0094138383865356,0.010535940527915955,0.0042657009325921535,0.006270239595323801,0.1111111111111111,not_run
4000,5.969456672668457,6.096283650398254,0.00028663079716682654,1.027788519859314,0.010542741976678371,0.004258143249899149,0.0062845987267792225,0.1111111111111111,raw2d_fallback
4500,5.835598945617676,6.050310754776001,0.00028262802505665753,1.090503215789795,0.010545331984758377,0.004215865395963192,0.006329466588795185,0.1111111111111111,not_run
5000,6.043373107910156,6.019194102287292,0.0002781418941603984,1.156833291053772,0.010580508969724178,0.0042308662086725235,0.006349642761051655,0.1111111111111111,not_run
5500,5.90999698638916,5.991012144088745,0.0002731908389521741,1.1971104145050049,0.010621685534715652,0.004232270177453756,0.006389415357261896,0.1111111111111111,not_run
6000,5.973763942718506,5.931749415397644,0.00026779520437983313,1.2075893878936768,0.010654189623892307,0.004233969375491142,0.006420220248401165,0.1111111111111111,raw2d_fallback
6500,5.496417999267578,5.921399569511413,0.0002619771622631932,1.1516942977905273,0.010683322325348854,0.004211519844830036,0.006471802480518818,0.1111111111111111,not_run
7000,5.9221110343933105,5.867021107673645,0.00025576062018527776,1.2364801168441772,0.010745525360107422,0.004214107524603605,0.006531417835503817,0.1111111111111111,not_run
7500,6.026806354522705,5.797762489318847,0.000249171123250929,1.3762491941452026,0.010815986432135105,0.004215091932564974,0.006600894499570131,0.1111111111111111,not_run
8000,5.74461030960083,5.720491027832031,0.00024223574911649286,1.2360799312591553,0.010828684084117413,0.004223533906042576,0.006605150178074837,0.1111111111111111,raw2d_fallback
8500,5.638719081878662,5.776358294486999,0.00023498299672192088,1.3975476026535034,0.010804391466081142,0.004270277451723814,0.006534114014357328,0.1111111111111111,not_run
9000,5.395942211151123,5.802015876770019,0.00022744266918251272,1.308371663093567,0.01084719505161047,0.004283734131604433,0.006563460920006037,0.1111111111111111,not_run
9500,5.698409557342529,5.712130117416382,0.00021964575132152312,1.4118969440460205,0.01086755096912384,0.004303124267607927,0.006564426701515913,0.1111111111111111,not_run
10000,5.563304901123047,5.6842470407485965,0.0002116242823468765,1.3420617580413818,0.010869944468140602,0.004306252114474773,0.006563692353665829,0.1111111111111111,raw2d_fallback
10500,5.989957809448242,5.689292693138123,0.00020341122419518934,1.464475154876709,0.010885756462812424,0.004306434653699398,0.006579321809113026,0.1111111111111111,not_run
11000,5.741405487060547,5.643560171127319,0.0001950403260841024,1.4636943340301514,0.010902724228799343,0.004285768140107393,0.00661695608869195,0.1111111111111111,not_run
11500,5.5754265785217285,5.6343210458755495,0.00018654598582950617,1.3912458419799805,0.010892407968640327,0.004279182758182287,0.00661322521045804,0.1111111111111111,not_run
12000,5.45603609085083,5.654949522018432,0.000177963108497537,1.3724561929702759,0.010913192294538021,0.004268686752766371,0.00664450554177165,0.1111111111111111,raw2d_fallback
12500,5.678168773651123,5.6842461109161375,0.00016932696297217346,1.6728386878967285,0.010936602018773556,0.004272771533578634,0.0066638304851949215,0.1111111111111111,not_run
